date,avg_sentiment,positive,negative,neutral,total_tweets,Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,0.208276018,334,92,237,663,2022-11-21,15.147000312805176,15.47700023651123,15.079999923706056,15.31700038909912,15.304317474365234,404739000
2022-11-22,0.211685392,759,153,505,1417,2022-11-22,15.32800006866455,16.058000564575195,15.121999740600586,16.038000106811523,16.02471923828125,472866000
2022-11-23,0.226206454,621,117,455,1193,2022-11-23,16.097999572753906,16.527000427246094,16.04800033569336,16.518999099731445,16.505319595336914,427241000
2022-11-25,0.231994246,441,78,263,782,2022-11-25,16.31800079345703,16.48699951171875,16.172000885009766,16.270000457763672,16.256526947021484,167934000
2022-11-28,0.225056443,678,152,334,1164,2022-11-28,16.025999069213867,16.35700035095215,15.725000381469728,15.82699966430664,15.81389331817627,303741000
2022-11-29,0.207067655,643,188,350,1181,2022-11-29,15.82699966430664,15.932000160217283,15.520000457763672,15.638999938964844,15.626049041748049,298384000
2022-11-30,0.180165909,675,210,435,1320,2022-11-30,15.696999549865724,16.93000030517578,15.597000122070312,16.92300033569336,16.913311004638672,565298000
2022-12-01,0.232124633,955,195,486,1636,2022-12-01,16.999000549316406,17.264999389648438,16.635000228881836,17.135000228881836,17.12518882751465,470977000
2022-12-02,0.24319742,1314,222,596,2132,2022-12-02,16.659000396728516,16.933000564575195,16.44499969482422,16.875999450683594,16.866336822509766,371389000
2022-12-05,0.191120135,629,145,413,1187,2022-12-05,16.679000854492188,16.9950008392334,16.472000122070312,16.610000610351562,16.600492477416992,352255000
2022-12-06,0.205702206,789,193,423,1405,2022-12-06,16.530000686645508,16.572999954223633,15.819000244140623,15.987000465393066,15.977849006652832,352694000
2022-12-07,0.204128492,816,208,408,1432,2022-12-07,15.772000312805176,16.18600082397461,15.666999816894531,16.1200008392334,16.11077117919922,372388000
2022-12-08,0.203981267,1020,232,611,1863,2022-12-08,16.273000717163086,17.179000854492188,15.958999633789062,17.16900062561035,17.1591739654541,515456000
2022-12-09,0.219003493,1000,256,519,1775,2022-12-09,17.15999984741211,17.58300018310547,16.975000381469727,17.000999450683594,16.991268157958984,465338000
2022-12-12,0.19991694,794,193,477,1464,2022-12-12,17.03700065612793,17.538000106811523,16.797000885009766,17.53499984741211,17.524961471557617,457328000
2022-12-13,0.209076524,875,225,442,1542,2022-12-13,18.5310001373291,18.790000915527344,17.711000442504883,18.07200050354004,18.061655044555664,656589000
2022-12-14,0.250755809,823,183,397,1403,2022-12-14,17.98699951171875,18.25200080871582,17.420000076293945,17.673999786376953,17.663883209228516,496888000
2022-12-15,0.2270856,904,201,513,1618,2022-12-15,17.145999908447266,17.31999969482422,16.700000762939453,16.95199966430664,16.942293167114258,478542000
2022-12-16,0.210195031,719,190,399,1308,2022-12-16,16.86400032043457,17.041000366210938,16.40999984741211,16.570999145507812,16.561513900756836,478232000
2022-12-19,0.217284324,801,173,372,1346,2022-12-19,16.57200050354004,16.608999252319336,16.145000457763672,16.253999710083008,16.244691848754883,354039000
2022-12-20,0.232951243,923,187,338,1448,2022-12-20,16.06399917602539,16.309999465942383,15.85200023651123,16.084999084472656,16.07579231262207,403260000
2022-12-21,0.236823102,943,190,382,1515,2022-12-21,16.11400032043457,16.62700080871582,16.101999282836914,16.500999450683594,16.491554260253906,325025000
2022-12-22,0.179507052,1044,299,628,1971,2022-12-22,16.0939998626709,16.13800048828125,14.881999969482422,15.33899974822998,15.330219268798828,565045000
2022-12-23,0.269616183,1073,180,471,1724,2022-12-23,15.196000099182127,15.33899974822998,14.883000373840332,15.206000328063965,15.197295188903809,349326000
2022-12-27,0.199605223,1198,309,714,2221,2022-12-27,15.074000358581545,15.100000381469728,14.055999755859377,14.121000289916992,14.112916946411133,464902000
2022-12-28,0.215422957,1154,275,627,2056,2022-12-28,13.927000045776367,14.26200008392334,13.883999824523926,14.03600025177002,14.02796459197998,351066000
2022-12-29,0.191800992,945,224,544,1713,2022-12-29,14.402000427246094,14.68299961090088,14.22700023651123,14.602999687194824,14.594639778137209,354923000
2022-12-30,0.235327636,929,189,409,1527,2022-12-30,14.333999633789062,14.628999710083008,14.232999801635742,14.61400032043457,14.605633735656738,310490000
2023-01-03,0.176272212,812,176,653,1641,2023-01-03,14.85099983215332,14.996000289916992,14.095999717712402,14.3149995803833,14.306804656982422,401277000
2023-01-04,0.196124857,873,176,528,1577,2023-01-04,14.56700038909912,14.852999687194824,14.241000175476074,14.74899959564209,14.740556716918944,431324000
2023-01-05,0.20303536,856,170,487,1513,2023-01-05,14.491000175476074,14.564000129699709,14.14799976348877,14.265000343322754,14.25683307647705,389168000
2023-01-06,0.207874766,846,169,479,1494,2023-01-06,14.473999977111816,15.010000228881836,14.034000396728516,14.859000205993652,14.850494384765623,405044000
2023-01-09,0.194969492,811,168,555,1534,2023-01-09,15.284000396728516,16.055999755859375,15.140999794006348,15.628000259399414,15.619054794311523,504231000
2023-01-10,0.216452102,756,135,370,1261,2023-01-10,15.506999969482422,15.961999893188477,15.472000122070312,15.909000396728516,15.89989185333252,384101000
2023-01-11,0.21619163,820,175,367,1362,2023-01-11,15.84000015258789,16.027999877929688,15.562999725341797,16.000999450683594,15.991838455200195,353285000
2023-01-12,0.19261239,886,203,501,1590,2023-01-12,16.100000381469727,16.636999130249023,15.491999626159668,16.51099967956543,16.501544952392578,551409000
2023-01-13,0.194422593,696,168,424,1288,2023-01-13,16.277999877929688,16.922000885009766,16.165000915527344,16.89900016784668,16.889326095581055,447287000
2023-01-17,0.203279879,919,206,530,1655,2023-01-17,16.89900016784668,17.72800064086914,16.89900016784668,17.70199966430664,17.691865921020508,511102000
2023-01-18,0.232544949,887,156,432,1475,2023-01-18,17.66699981689453,17.87299919128418,17.281999588012695,17.37700080871582,17.36705207824707,439624000
2023-01-19,0.207179037,792,171,387,1350,2023-01-19,17.035999298095703,17.19700050354004,16.731000900268555,16.764999389648438,16.755399703979492,452932000
2023-01-20,0.220100951,901,190,486,1577,2023-01-20,17.01099967956543,17.856000900268555,16.825000762939453,17.839000701904297,17.82878875732422,564967000
2023-01-23,0.169538428,1087,285,905,2277,2023-01-23,18.06399917602539,19.2450008392334,17.81800079345703,19.19300079345703,19.1820125579834,655163000
2023-01-24,0.193470264,939,226,614,1779,2023-01-24,18.82699966430664,19.4950008392334,18.81999969482422,19.26499938964844,19.253969192504883,496204000
2023-01-25,0.188499077,832,202,592,1626,2023-01-25,18.913000106811523,19.3700008392334,18.57999992370605,19.322999954223636,19.311939239501957,449537000
2023-01-26,0.190666471,854,249,600,1703,2023-01-26,19.701000213623047,20.166000366210938,19.277999877929688,19.802000045776367,19.79066467285156,489535000
2023-01-27,0.17066808,925,303,611,1839,2023-01-27,19.46199989318848,20.62800025939941,19.405000686645508,20.364999771118164,20.35334014892578,542142000
2023-01-30,0.225098938,892,194,515,1601,2023-01-30,19.950000762939453,20.13999938964844,19.149999618530277,19.16200065612793,19.151029586791992,488611000
2023-01-31,0.22168529,939,204,475,1618,2023-01-31,19.170000076293945,19.687000274658203,18.950000762939453,19.53700065612793,19.52581787109375,498017000
2023-02-01,0.200575361,1074,232,703,2009,2023-02-01,19.69099998474121,21.191999435424805,19.61100006103516,20.94300079345703,20.931013107299805,660477000
2023-02-02,0.207634901,972,223,570,1765,2023-02-02,21.0,21.948999404907227,20.700000762939453,21.708999633789062,21.696571350097656,564276000
2023-02-03,0.192075592,729,168,496,1393,2023-02-03,21.0,21.7450008392334,20.78899955749512,21.100000381469727,21.087921142578125,429366000
